Board State,Action Probabilities,Player
"0,-1,-1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0.05425163524432474,0,0,0.0011542901115813775,0.053866871873797614,0,0,0.05425163524432474,0.0011542901115813775,0.05425163524432474,0,0.05425163524432474,0.053866871873797614,0,0.053866871873797614,0.023470565602154676,0.05425163524432474,0.023470565602154676,0.0011542901115813775,0,0,0,0.05425163524432474,0,0,0,0,0.053866871873797614,0.05425163524432474,0.053866871873797614,0.0011542901115813775,0,0,0.053866871873797614,0.0011542901115813775,0.053866871873797614,0.053866871873797614,0,0,0,0.0011542901115813775,0,0,0.023470565602154676,0.0011542901115813775,0.0011542901115813775,0.05425163524432474,0.0011542901115813775,0.05425163524432474",-1
"-1,-1,-1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.027171833141982394,0.027171833141982394,0,0,0.03291236127057023,0.027171833141982394,0.040949100650593186,0,0.027171833141982394,0.04362801377726751,0,0.027171833141982394,0.055874473784921545,0.03559127439724455,0.04860313815537696,0.026789131266743208,0,0,0,0.05817068503635668,0,0,0,0,0.03291236127057023,0.040949100650593186,0.03291236127057023,0.027171833141982394,0,0,0.038270187523918864,0.03559127439724455,0.03559127439724455,0.03559127439724455,0,0,0,0.040949100650593186,0,0,0.027171833141982394,0.03559127439724455,0.027171833141982394,0.038270187523918864,0.027171833141982394,0.04630692690394183",1
"-1,-1,-1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,1,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.022857142857142857,0.022857142857142857,0,0,0.02438095238095238,0.021333333333333333,0.02361904761904762,0,0.023238095238095238,0.0015238095238095239,0,0.0015238095238095239,0.0015238095238095239,0.6712380952380952,0.0015238095238095239,0.02361904761904762,0,0,0,0,0,0,0,0,0.02438095238095238,0.021714285714285714,0.0015238095238095239,0.022857142857142857,0,0,0.0015238095238095239,0.0015238095238095239,0.0015238095238095239,0.0015238095238095239,0,0,0,0.01638095238095238,0,0,0.018285714285714287,0.0015238095238095239,0.022857142857142857,0.0015238095238095239,0.022095238095238095,0.0015238095238095239",-1
"-1,-1,-1,0,0,1,1,0,0,0,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.037063267233238904,0.037063267233238904,0,0,0.037063267233238904,0.037063267233238904,0.05240793201133145,0,0.037063267233238904,0.037063267233238904,0,0.037063267233238904,0.039660056657223795,0,0.039660056657223795,0.037063267233238904,0,0,0,0,0,0,0,0,0.037063267233238904,0.039660056657223795,0.042256846081208686,0.037063267233238904,0,0,0.042492917847025496,0.037063267233238904,0.037063267233238904,0.037063267233238904,0,0,0,0.037063267233238904,0,0,0.037063267233238904,0.037063267233238904,0.037063267233238904,0.039660056657223795,0.037063267233238904,0.037063267233238904",1
"-1,-1,-1,0,0,1,1,0,0,1,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.0018539117538005192,0.02335928809788654,0,0,0.024100852799406748,0.023730070448646643,0,0,0.023730070448646643,0.023730070448646643,0,0.023730070448646643,0.024471635150166853,0,0.0018539117538005192,0.0018539117538005192,0,0,0,0,0,0,0,0,0.023730070448646643,0.018168335187245088,0.5669262143121987,0.02335928809788654,0,0,0.023730070448646643,0.023730070448646643,0.023730070448646643,0.023730070448646643,0,0,0,0.0018539117538005192,0,0,0.0018539117538005192,0.023730070448646643,0.023730070448646643,0.0018539117538005192,0.023730070448646643,0.023730070448646643",-1
"-1,-1,-1,0,0,1,1,0,0,1,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,0,0,-1,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.04544319600499376,0.045692883895131084,0,0,0.0731585518102372,0.04369538077403246,0,0,0.03745318352059925,0.04943820224719101,0,0.03945068664169788,0.03545568039950062,0,0.030961298377028715,0.02871410736579276,0,0,0,0,0,0,0,0,0.08014981273408239,0.030961298377028715,0,0.03745318352059925,0,0,0.030961298377028715,0.04744069912609238,0.03545568039950062,0.030961298377028715,0,0,0,0.04943820224719101,0,0,0.03320848938826467,0.03545568039950062,0.04544319600499376,0.030961298377028715,0.03320848938826467,0.04943820224719101",1
"-1,-1,-1,0,0,1,1,0,0,1,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.0014295925661186562,0.0014295925661186562,0,0,0.10900643316654754,0.0014295925661186562,0,0,0.0014295925661186562,0.10864903502501787,0,0.0014295925661186562,0.10864903502501787,0,0.10900643316654754,0.0014295925661186562,0,0,0,0,0,0,0,0,0,0.10900643316654754,0,0.0014295925661186562,0,0,0.10900643316654754,0.0014295925661186562,0.10864903502501787,0.10900643316654754,0,0,0,0.0014295925661186562,0,0,0.0014295925661186562,0.0014295925661186562,0.0014295925661186562,0.10900643316654754,0.0014295925661186562,0.0014295925661186562",-1
"-1,-1,-1,0,0,1,1,-1,0,1,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,0,0,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.05102407473948976,0.04671218109953288,0,0,0,0.038447718289615525,0,0,0.044556234279554435,0.05066475026949335,0,0.05066475026949335,0.03162055335968379,0,0.026949335249730505,0.04060366510959396,0,0,0,0,0,0,0,0,0,0.026949335249730505,0,0.04060366510959396,0,0,0.026949335249730505,0.04886812791951132,0.0794107078692059,0.029464606539705354,0,0,0,0.05066475026949335,0,0,0.038447718289615525,0.0427596119295724,0.0794107078692059,0.026949335249730505,0.0794107078692059,0.04886812791951132",1
"-1,-1,-1,0,0,1,1,-1,0,1,1,0,0,1,0,0,-1,0,0,1,-1,1,1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,0,1,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.0014814814814814814,0.0014814814814814814,0,0,0,0.0014814814814814814,0,0,0.0014814814814814814,0.0014814814814814814,0,0.0014814814814814814,0.14,0,0.0014814814814814814,0.0014814814814814814,0,0,0,0,0,0,0,0,0,0.14,0,0.13962962962962963,0,0,0.14,0.0014814814814814814,0,0.13962962962962963,0,0,0,0.0014814814814814814,0,0,0.0014814814814814814,0.0014814814814814814,0.14,0.0014814814814814814,0.14,0.0014814814814814814",-1
"-1,-1,-1,0,0,1,1,-1,0,1,1,0,0,1,0,-1,-1,0,0,1,-1,1,1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,0,1,0,1,-1,1,0,-1,1,0,0,0,0,0,0","0,0,0,0.044086773967809655,0.044086773967809655,0,0,0,0.044086773967809655,0,0,0.044086773967809655,0.044086773967809655,0,0.10216934919524143,0,0,0.053883834849545134,0.044086773967809655,0,0,0,0,0,0,0,0,0,0.044086773967809655,0,0.02799160251924423,0,0,0.053883834849545134,0.044086773967809655,0,0.053883834849545134,0,0,0,0.04443666899930021,0,0,0.044086773967809655,0.03918824352694192,0.08537438768369489,0.044086773967809655,0.053883834849545134,0.04443666899930021",1
