Board State,Action Probabilities,Player
"0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.009708141321044547,0.005529953917050691,0.001781874039938556,0.013210445468509985,0.010752688172043012,0.005345622119815668,0.00946236559139785,0,0,0.004178187403993856,0.8494009216589862,0,0,0.0027649769585253456,0.005960061443932412,0,0,0.022980030721966208,0.006021505376344086,0.008172043010752689,0,0,0.024393241167434715,0.009953917050691244,0.010384024577572966",1
"0,0,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.04200268817204301,0.5123487903225806,0.02919186827956989,0.023941532258064516,0.03082997311827957,0.08266129032258064,0.08702956989247312,0,0,0.01478494623655914,0,0,0,0.025621639784946238,0.02158938172043011,0,0,0.027721774193548387,0.015036962365591398,0.01659106182795699,0,0,0.03225806451612903,0.01659106182795699,0.021799395161290324",-1
"0,-1,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0","0.04345670107740161,0,0.060541856376504534,0.10940810530586485,0.09214263174502998,0.11184240183924626,0.04837037370959744,0,0,0.01929405400531939,0,0,0,0.015236893116350358,0.027904251003020332,0,0,0.07424604426813325,0.18126493260604967,0.04832529414416445,0,0,0.06739395032231889,0.08443402605598882,0.016138484425010143",1
"0,-1,0,0,0,0,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.14621260798172342,0,0.14849717998143785,0.05961305061754837,0.05989862211751267,0.2176054829727993,0.10873134861140858,0,0,0.015920611123009923,0,0,0,0.02677232812165346,0.011851217248518597,0,0,0.052902120368387234,0,0.00835296637395588,0,0,0.0704647676161919,0.038980509745127435,0.03419718712072535",-1
"0,-1,0,0,0,-1,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.0034522439585730723,0,0.02623705408515535,0.46950517836593786,0.22662063674721902,0,0.03513617184503261,0,0,0.011967779056386652,0,0,0,0.031914077483697734,0.023858841580360567,0,0,0.046643651706942846,0,0.019946298427311087,0,0,0.022554660529344073,0.07073264288454162,0.011430763329497507",1
"0,-1,0,1,0,-1,0,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.02265954805065806,0,0.14086168363546064,0,0.02681897193940899,0,0.14458654084926745,0,0,0.08207102061087658,0,0,0,0.08529923019617582,0.07635957288303949,0,0,0.10615843059349392,0,0.05475540104296002,0,0,0.11031785448224485,0.09237645890240874,0.057735286814005464",-1
"0,-1,0,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,0,0,0","0.004221464523461601,0,0.005520376684526709,0,0.003653190452995616,0,0,0,0,0.0062510147751258325,0,0,0,0.011446663419386265,0.005195648644260432,0,0,0.05382367267413541,0,0.0038155544731287546,0,0,0.8798506251014775,0.015424581912648156,0.01079720733885371",1
"0,-1,0,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,1,0,0","0.1055790282312272,0,0.10869982715575187,0,0.10634722488957173,0,0,0,0,0.08704628384866527,0,0,0,0.09031111964662954,0.08541386594968312,0,0,0.09837718455924717,0,0.10317841367390052,0,0,0,0.10869982715575187,0.10634722488957173",-1
"0,-1,-1,1,0,-1,-1,-1,1,0,1,-1,1,0,0,1,-1,0,1,0,1,-1,1,0,0","0.01281109751121991,0,0,0,0.01558547531619747,0,0,0,0,0.05532435740514076,0,0,0,0.4177886576907385,0.036882904936760504,0,0,0.4177886576907385,0,0.010118319053447572,0,0,0,0.01966544267645859,0.014035087719298246",1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.016741854636591478,0.020451127819548873,0.02756892230576441,0.035889724310776944,0.06446115288220551,0.023859649122807018,0.031478696741854634,0.08150375939849624,0.047017543859649125,0.031478696741854634,0.0324812030075188,0.0406015037593985,0.09152882205513785,0.03338345864661654,0.029674185463659148,0.027268170426065164,0.08030075187969925,0.08832080200501254,0.04200501253132832,0.006616541353383459,0.02706766917293233,0.043909774436090225,0.04170426065162907,0.023258145363408523,0.011428571428571429",-1
"0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0","0.015887592983745064,0.008816236569014603,0.021122233446597485,0.025897694921480394,0.07172375792083754,0.01092845991367435,0.020479382863440167,0.028652768849297457,0.06704013224354853,0.03535678207365231,0.02305078519606943,0.11617228395628616,0,0.12149876021673248,0.04077509413169254,0.029020112039673064,0.0831113968224814,0.03994857195334742,0.014326384424648729,0.012489668472770686,0.09449903572412527,0.02883644044448526,0.04114243732206814,0.023969143172008447,0.02525484433832308",1
